tt,staname,stla,stlo,stel,evtname,evla,evlo,evel,period,weight,dist,vel
32.771615,MX06,24.5750,102.5750,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,63.8282,1.947666
22.985010,MX07,25.0000,102.5750,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,42.8301,1.863394
32.562723,MX08,25.4250,102.5750,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,63.7287,1.957106
50.909901,MX09,25.8500,102.5750,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,103.7054,2.037038
63.667346,MX10,24.1500,103.0000,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,127.7541,2.006587
50.656615,MX11,24.5750,103.0000,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,97.9603,1.933810
45.471001,MX12,25.0000,103.0000,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,85.6602,1.883842
50.309328,MX13,25.4250,103.0000,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,97.7008,1.942002
63.270510,MX14,25.8500,103.0000,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,127.3561,2.012883
81.994286,MX15,24.1500,103.4250,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,159.8621,1.949674
71.053248,MX16,24.5750,103.4250,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,137.1123,1.929712
65.968291,MX17,25.0000,103.4250,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,128.4900,1.947754
70.775140,MX18,25.4250,103.4250,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,136.6952,1.931401
81.283489,MX19,25.8500,103.4250,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,159.1460,1.957914
102.252149,MX20,24.1500,103.8500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,196.1746,1.918538
91.372279,MX21,24.5750,103.8500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,178.0018,1.948095
86.239887,MX22,25.0000,103.8500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,171.3195,1.986546
91.218255,MX23,25.4250,103.8500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,177.4306,1.945121
101.385645,MX24,25.8500,103.8500,0.0000,MX02,25.0000,102.1500,0.0000,2.0000,1.0000,195.1368,1.924699
23.129679,MX04,25.8500,102.1500,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,47.2578,2.043169
74.064858,MX05,24.1500,102.5750,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,148.1228,1.999906
53.621699,MX06,24.5750,102.5750,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,103.7669,1.935167
33.041586,MX07,25.0000,102.5750,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,63.7287,1.928742
20.699711,MX08,25.4250,102.5750,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,42.6808,2.061904
30.326948,MX09,25.8500,102.5750,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,63.6278,2.098062
84.162835,MX10,24.1500,103.0000,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,165.7172,1.969007
65.997124,MX11,24.5750,103.0000,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,127.5565,1.932758
49.740638,MX12,25.0000,103.0000,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,97.7008,1.964205
41.571603,MX13,25.4250,103.0000,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,85.3615,2.053361
46.718017,MX14,25.8500,103.0000,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,97.4375,2.085651
99.330327,MX15,24.1500,103.4250,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,191.4816,1.927726
81.107682,MX16,24.5750,103.4250,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,159.5067,1.966604
67.549474,MX17,25.0000,103.4250,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,136.6952,2.023630
63.552049,MX18,25.4250,103.4250,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,128.0420,2.014758
67.073886,MX19,25.8500,103.4250,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,136.2716,2.031664
114.818304,MX20,24.1500,103.8500,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,222.5968,1.938687
97.381867,MX21,24.5750,103.8500,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,195.6596,2.009200
86.751813,MX22,25.0000,103.8500,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,177.4306,2.045266
85.618323,MX23,25.4250,103.8500,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,170.7222,1.993991
88.680928,MX24,25.8500,103.8500,0.0000,MX03,25.4250,102.1500,0.0000,2.0000,1.0000,176.8504,1.994232
96.391699,MX05,24.1500,102.5750,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,193.8222,2.010777
75.011197,MX06,24.5750,102.5750,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,148.0799,1.974104
51.802255,MX07,25.0000,102.5750,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,103.7054,2.001948
30.309886,MX08,25.4250,102.5750,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,63.6278,2.099243
20.701966,MX09,25.8500,102.5750,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,42.5291,2.054353
104.141956,MX10,24.1500,103.0000,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,207.5322,1.992782
83.023920,MX11,24.5750,103.0000,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,165.5640,1.994172
62.448828,MX12,25.0000,103.0000,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,127.3561,2.039367
46.737461,MX13,25.4250,103.0000,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,97.4375,2.084784
41.560632,MX14,25.8500,103.0000,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,85.0582,2.046604
115.515614,MX15,24.1500,103.4250,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,228.5619,1.978623
93.870965,MX16,24.5750,103.4250,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,191.1831,2.036659
76.791003,MX17,25.0000,103.4250,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,159.1460,2.072457
67.211295,MX18,25.4250,103.4250,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,136.2716,2.027510
63.395142,MX19,25.8500,103.4250,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,127.5870,2.012567
127.139635,MX20,24.1500,103.8500,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,255.1072,2.006512
107.668787,MX21,24.5750,103.8500,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,222.1402,2.063181
94.475025,MX22,25.0000,103.8500,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,195.1368,2.065486
88.924376,MX23,25.4250,103.8500,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,176.8504,1.988772
85.272514,MX24,25.8500,103.8500,0.0000,MX04,25.8500,102.1500,0.0000,2.0000,1.0000,170.1154,1.994962
22.312025,MX06,24.5750,102.5750,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,47.2578,2.118044
46.934653,MX07,25.0000,102.5750,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,94.5157,2.013772
71.324128,MX08,25.4250,102.5750,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,141.7735,1.987736
93.619924,MX09,25.8500,102.5750,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,189.0314,2.019136
21.109668,MX10,24.1500,103.0000,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,43.1217,2.042747
30.922467,MX11,24.5750,103.0000,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,63.9263,2.067308
50.898934,MX12,25.0000,103.0000,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,103.8277,2.039880
73.634097,MX13,25.4250,103.0000,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,148.1228,2.011606
96.615377,MX14,25.8500,103.0000,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,193.8222,2.006122
43.345778,MX15,24.1500,103.4250,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,86.2433,1.989659
49.300678,MX16,24.5750,103.4250,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,98.2158,1.992179
61.973252,MX17,25.0000,103.4250,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,127.7541,2.061439
81.124019,MX18,25.4250,103.4250,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,165.7172,2.042764
104.253067,MX19,25.8500,103.4250,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,207.5322,1.990658
65.630604,MX20,24.1500,103.8500,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,129.3647,1.971103
70.395478,MX21,24.5750,103.8500,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,137.5230,1.953577
78.261842,MX22,25.0000,103.8500,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,159.8621,2.042657
93.122652,MX23,25.4250,103.8500,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,191.4816,2.056230
113.608409,MX24,25.8500,103.8500,0.0000,MX05,24.1500,102.5750,0.0000,2.0000,1.0000,228.5619,2.011839
24.599967,MX07,25.0000,102.5750,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,47.2578,1.921053
49.006934,MX08,25.4250,102.5750,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,94.5157,1.928619
71.319408,MX09,25.8500,102.5750,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,141.7735,1.987867
30.960934,MX10,24.1500,103.0000,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,63.9263,2.064739
21.141533,MX11,24.5750,103.0000,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,42.9771,2.032828
32.331013,MX12,25.0000,103.0000,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,63.8282,1.974209
53.124424,MX13,25.4250,103.0000,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,103.7669,1.953281
75.250236,MX14,25.8500,103.0000,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,148.0799,1.967833
49.478185,MX15,24.1500,103.4250,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,98.2158,1.985032
43.180195,MX16,24.5750,103.4250,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,85.9541,1.990591
48.017003,MX17,25.0000,103.4250,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,97.9603,2.040116
63.959094,MX18,25.4250,103.4250,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,127.5565,1.994345
85.258501,MX19,25.8500,103.4250,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,165.5640,1.941906
70.652076,MX20,24.1500,103.8500,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,137.5230,1.946481
65.212561,MX21,24.5750,103.8500,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,128.9309,1.977087
66.697523,MX22,25.0000,103.8500,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,137.1123,2.055733
78.536679,MX23,25.4250,103.8500,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,159.5067,2.030984
97.317365,MX24,25.8500,103.8500,0.0000,MX06,24.5750,102.5750,0.0000,2.0000,1.0000,191.1831,1.964533
24.470903,MX08,25.4250,102.5750,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,47.2578,1.931185
46.797449,MX09,25.8500,102.5750,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,94.5157,2.019676
52.516534,MX10,24.1500,103.0000,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,103.8277,1.977048
33.082371,MX11,24.5750,103.0000,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,63.8282,1.929371
22.524684,MX12,25.0000,103.0000,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,42.8301,1.901475
32.948576,MX13,25.4250,103.0000,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,63.7287,1.934186
52.311182,MX14,25.8500,103.0000,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,103.7054,1.982471
66.478132,MX15,24.1500,103.4250,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,127.7541,1.921746
50.307457,MX16,24.5750,103.4250,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,97.9603,1.947231
43.031946,MX17,25.0000,103.4250,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,85.6602,1.990618
50.259792,MX18,25.4250,103.4250,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,97.7008,1.943916
66.117750,MX19,25.8500,103.4250,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,127.3561,1.926202
83.516474,MX20,24.1500,103.8500,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,159.8621,1.914139
69.295601,MX21,24.5750,103.8500,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,137.1123,1.978658
63.302297,MX22,25.0000,103.8500,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,128.4900,2.029784
69.308177,MX23,25.4250,103.8500,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,136.6952,1.972281
83.181238,MX24,25.8500,103.8500,0.0000,MX07,25.0000,102.5750,0.0000,2.0000,1.0000,159.1460,1.913245
22.304563,MX09,25.8500,102.5750,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,47.2578,2.118752
75.231831,MX10,24.1500,103.0000,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,148.1228,1.968884
53.018892,MX11,24.5750,103.0000,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,103.7669,1.957169
32.148086,MX12,25.0000,103.0000,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,63.7287,1.982348
20.917525,MX13,25.4250,103.0000,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,42.6808,2.040433
30.778082,MX14,25.8500,103.0000,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,63.6278,2.067309
85.185487,MX15,24.1500,103.4250,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,165.7172,1.945369
63.691152,MX16,24.5750,103.4250,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,127.5565,2.002735
47.822550,MX17,25.0000,103.4250,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,97.7008,2.042987
42.900214,MX18,25.4250,103.4250,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,85.3615,1.989769
48.937503,MX19,25.8500,103.4250,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,97.4375,1.991060
97.119942,MX20,24.1500,103.8500,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,191.4816,1.971600
78.270154,MX21,24.5750,103.8500,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,159.5067,2.037899
66.523539,MX22,25.0000,103.8500,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,136.6952,2.054839
64.928563,MX23,25.4250,103.8500,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,128.0420,1.972044
69.801661,MX24,25.8500,103.8500,0.0000,MX08,25.4250,102.5750,0.0000,2.0000,1.0000,136.2716,1.952269
96.576473,MX10,24.1500,103.0000,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,193.8222,2.006930
73.541899,MX11,24.5750,103.0000,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,148.0799,2.013545
50.786374,MX12,25.0000,103.0000,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,103.7054,2.041993
30.805147,MX13,25.4250,103.0000,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,63.6278,2.065493
20.895636,MX14,25.8500,103.0000,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,42.5291,2.035312
104.146039,MX15,24.1500,103.4250,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,207.5322,1.992704
80.921336,MX16,24.5750,103.4250,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,165.5640,2.045987
61.890919,MX17,25.0000,103.4250,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,127.3561,2.057751
49.052007,MX18,25.4250,103.4250,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,97.4375,1.986412
42.730803,MX19,25.8500,103.4250,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,85.0582,1.990559
113.456280,MX20,24.1500,103.8500,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,228.5619,2.014537
92.971896,MX21,24.5750,103.8500,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,191.1831,2.056354
78.186776,MX22,25.0000,103.8500,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,159.1460,2.035460
69.966091,MX23,25.4250,103.8500,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,136.2716,1.947680
64.569618,MX24,25.8500,103.8500,0.0000,MX09,25.8500,102.5750,0.0000,2.0000,1.0000,127.5870,1.975960
23.757545,MX11,24.5750,103.0000,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,47.2578,1.989172
47.429639,MX12,25.0000,103.0000,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,94.5157,1.992756
71.086369,MX13,25.4250,103.0000,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,141.7735,1.994384
94.838229,MX14,25.8500,103.0000,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,189.0314,1.993198
22.235190,MX15,24.1500,103.4250,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,43.1217,1.939345
33.388706,MX16,24.5750,103.4250,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,63.9263,1.914607
51.831908,MX17,25.0000,103.4250,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,103.8277,2.003162
73.541904,MX18,25.4250,103.4250,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,148.1228,2.014127
98.184125,MX19,25.8500,103.4250,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,193.8222,1.974069
44.557416,MX20,24.1500,103.8500,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,86.2433,1.935554
51.740872,MX21,24.5750,103.8500,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,98.2158,1.898224
64.573779,MX22,25.0000,103.8500,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,127.7541,1.978420
82.315713,MX23,25.4250,103.8500,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,165.7172,2.013191
104.283133,MX24,25.8500,103.8500,0.0000,MX10,24.1500,103.0000,0.0000,2.0000,1.0000,207.5322,1.990085
23.687704,MX12,25.0000,103.0000,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,47.2578,1.995037
47.334372,MX13,25.4250,103.0000,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,94.5157,1.996766
71.085375,MX14,25.8500,103.0000,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,141.7735,1.994412
33.444966,MX15,24.1500,103.4250,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,63.9263,1.911387
22.047037,MX16,24.5750,103.4250,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,42.9771,1.949337
31.064539,MX17,25.0000,103.4250,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,63.8282,2.054696
51.053032,MX18,25.4250,103.4250,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,103.7669,2.032533
75.132506,MX19,25.8500,103.4250,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,148.0799,1.970917
51.773307,MX20,24.1500,103.8500,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,98.2158,1.897035
44.123415,MX21,24.5750,103.8500,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,85.9541,1.948038
47.715003,MX22,25.0000,103.8500,0.0000,MX11,24.5750,103.0000,0.0000,2.0000,1.0000,97.9603,2.053029
